#index crate uHTR u 0 0 uHTR_fib fib_ch subdet eta phi depth
420075C 36 3 u 0 0 0 1 HF 33 39 4
420075C 36 3 u 0 0 0 3 HF 31 39 4
420075C 36 3 u 0 0 1 1 HF 29 39 4
420075C 36 3 u 0 0 1 3 HF 34 39 4
420075C 36 3 u 0 0 2 1 HF 32 39 4
420075C 36 3 u 0 0 2 3 HF 30 39 4
420075C 36 3 u 0 0 3 1 HF 33 39 3
420075C 36 3 u 0 0 3 3 HF 31 39 3
420075C 36 3 u 0 0 4 1 HF 29 39 3
420075C 36 3 u 0 0 4 3 HF 34 39 3
420075C 36 3 u 0 0 5 1 HF 32 39 3
420075C 36 3 u 0 0 5 3 HF 30 39 3
420075C 36 3 u 0 0 6 1 HF 41 39 4
420075C 36 3 u 0 0 6 3 HF 37 39 4
420075C 36 3 u 0 0 7 1 HF 35 39 4
420075C 36 3 u 0 0 7 3 HF 39 39 4
420075C 36 3 u 0 0 8 1 HF 38 39 4
420075C 36 3 u 0 0 8 3 HF 36 39 4
420075C 36 3 u 0 0 9 1 HF 41 39 3
420075C 36 3 u 0 0 9 3 HF 37 39 3
420075C 36 3 u 0 0 10 1 HF 35 39 3
420075C 36 3 u 0 0 10 3 HF 39 39 3
420075C 36 3 u 0 0 11 1 HF 38 39 3
420075C 36 3 u 0 0 11 3 HF 36 39 3
420075C 29 10 u 0 0 14 0 HF 33 39 1
420075C 29 10 u 0 0 14 1 HF 31 39 1
420075C 29 10 u 0 0 14 2 HF 29 39 1
420075C 29 10 u 0 0 15 2 HF 34 39 1
420075C 29 10 u 0 0 15 0 HF 32 39 1
420075C 29 10 u 0 0 15 1 HF 30 39 1
420075C 29 10 u 0 0 16 0 HF 33 39 2
420075C 29 10 u 0 0 16 1 HF 31 39 2
420075C 29 10 u 0 0 16 2 HF 29 39 2
420075C 36 3 u 0 0 4 2 HF 34 39 2
420075C 29 10 u 0 0 17 0 HF 32 39 2
420075C 36 3 u 0 0 5 2 HF 30 39 2
420075C 29 10 u 0 0 2 0 HF 41 39 1
420075C 29 10 u 0 0 2 1 HF 37 39 1
420075C 29 10 u 0 0 2 2 HF 35 39 1
420075C 29 10 u 0 0 3 2 HF 39 39 1
420075C 29 10 u 0 0 3 0 HF 38 39 1
420075C 29 10 u 0 0 3 1 HF 36 39 1
420075C 29 10 u 0 0 4 0 HF 41 39 2
420075C 29 10 u 0 0 4 1 HF 37 39 2
420075C 29 10 u 0 0 4 2 HF 35 39 2
420075C 29 10 u 0 0 5 2 HF 39 39 2
420075C 29 10 u 0 0 5 0 HF 38 39 2
420075C 29 10 u 0 0 5 1 HF 36 39 2
